time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208642.8508,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00312924385071
1562208642.8611,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00322237610817
1562208642.8714,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0029057264328
1562208642.8807,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00273808836937
1562208642.8911,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00340864062309
1562208642.9006,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00238418579102
1562208642.9110,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00234693288803
1562208642.9214,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00312924385071
1562208642.9308,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562208642.9410,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00370666384697
1562208642.9513,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00331550836563
1562208642.9605,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562208642.9709,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00366941094398
1562208642.9813,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00296160578728
1562208642.9908,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.0013,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00305473804474
1562208643.0107,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00270083546638
1562208643.0212,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00340864062309
1562208643.0306,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00357627868652
1562208643.0411,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00325962901115
1562208643.0506,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.0524,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.0626,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.0724,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.0029057264328
1562208643.0824,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562208643.0924,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00305473804474
1562208643.1024,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00309199094772
1562208643.1123,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562208643.1225,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562208643.1323,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00318512320518
1562208643.1424,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00402331352234
1562208643.1523,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00344589352608
1562208643.1624,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.1724,1,1,0,38.0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208643.1798,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00238418579102
1562208643.1805,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00238418579102
1562208643.1823,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00238418579102
1562208643.1907,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00255182385445
1562208643.1925,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562208643.2025,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562208643.2021,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562208643.2106,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00234693288803
1562208643.2130,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00318512320518
1562208643.2202,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00318512320518
1562208643.2224,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00318512320518
1562208643.2308,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0041164457798
1562208643.2336,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00273808836937
1562208643.2403,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00273808836937
1562208643.2423,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00273808836937
1562208643.2507,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00305473804474
1562208643.2522,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00305473804474
1562208643.2610,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00370666384697
1562208643.2624,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00370666384697
1562208643.2710,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00312924385071
1562208643.2723,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00247731804848
1562208643.2803,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00247731804848
1562208643.2823,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00402331352234
1562208643.2907,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00402331352234
1562208643.2923,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00402331352234
1562208643.3011,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00370666384697
1562208643.3025,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0029057264328
1562208643.3105,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0029057264328
1562208643.3123,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0029057264328
1562208643.3209,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562208643.3223,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562208643.3308,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00234693288803
1562208643.3323,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00234693288803
1562208643.3407,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00309199094772
1562208643.3423,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00398606061935
1562208643.3511,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00398606061935
1562208643.3523,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00398606061935
1562208643.3605,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00283122062683
1562208643.3624,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00283122062683
1562208643.3709,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00383704900742
1562208643.3723,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0041164457798
1562208643.3802,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.0041164457798
1562208643.3823,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00260770320892
1562208643.3907,0,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00260770320892
1562208643.3923,1,1,0,38.0,1,0.0,nan,1,0.0,0.0,0,-0.00260770320892
1562208643.4011,0,1,0,38.0,1,0.0,nan,1,38.0,0.0,0,-0.00331550836563
1562208643.4026,1,1,0,38.0,1,0.0,nan,1,38.0,0.0,0,-0.00331550836563
